Title,User,Stars,Date,Content
" Disappointing
",lbrownfi92,4,26 April 2023,"I don't get it, and I'm not talking about the mechanics of the movie here. I understand that. What I don't get is why people like this film so much. It's not a particularly unique story, the acting isn't good, and the plot feels weak.First, the story isn't unique. Sure, it plays a bit with time moving in both directions simultaneously rather than a Back-to-the-Future-type of linear time travel. But still. It doesn't feel like a fresh idea.The acting is frankly lackluster. I don't particularly like the Protagonist (John David Washington), nor the Antagonist (Kenneth Branagh, who I know for a fact is capable of more). The only good performances in the film come from Robert Pattinson and Elizabeth Debicki, but they're both underutilized in favor of focus on the Protagonist.The plot needs more support. I wouldn't say that it has holes, because I think that's fairly well covered, and that's something the film does well. But it seems like an afterthought (spoiler) to explain the true nature of the ""plutonium"" halfway through. Certain characters get virtually no development and are very one-dimensional. There are no real overarching themes - no critique of society or humanity, really nothing deeper than what you see on screen.Overall, a disappointment, especially given the overwhelmingly positive reviews it received. I wish it had been better."
" 100mph and going nowhere
",cmmccready,3,22 April 2023,"Chaotic and confusing right from the start.The main character is caught by Russians at the start but what were they actually doing in the operah house?Very hard to follow what is going on, very complicated fictional science going on that they take no time to properly explain and the end fight scene, the bad guys are fighting the good guys because they all want the whole world to end, including themselves? Hard to believe.The main characters love interest is just so hard to believe, there is zero chemistry between them.One of the worst movies I have ever watched and I normally love Nolan films."
" Time confused
",egorrukas,7,16 April 2023,"""Tenet"" is a science-fiction action thriller film directed by Christopher Nolan, who is known for his visually stunning and complex films. The movie follows a protagonist (John David Washington) as he tries to prevent a global catastrophe caused by the inversion of time.The film's opening scene immediately sets the tone for the rest of the movie, with an intense and visually stunning sequence of a terrorist attack in a packed opera house. The scene showcases the film's impressive production design and use of practical effects, which is a hallmark of Nolan's films.As the film progresses, the audience is introduced to the concept of inversion, which is the ability to reverse the flow of time. This concept is both fascinating and confusing, and it takes a while to fully grasp. The film does a decent job of explaining the rules of inversion, but there are still moments where it feels a bit convoluted.The protagonist, who is only referred to as ""The Protagonist,"" is a skilled CIA operative who is recruited by a secret organization called Tenet to stop a Russian oligarch (Kenneth Branagh) from causing a global catastrophe. Washington's performance is excellent, and he is able to convey the necessary gravitas and intensity needed for the role.The supporting cast is also impressive, with Robert Pattinson playing a mysterious and charming operative, Elizabeth Debicki as the estranged wife of the villain, and Branagh as the menacing antagonist. However, the characters are not given a lot of depth, and the audience is never fully invested in their individual journeys.The action scenes in the film are spectacular, with Nolan's signature use of practical effects and practical stunts. The use of inversion adds a unique twist to the action sequences, with characters fighting and driving in reverse. The film's climax, which takes place in an abandoned city, is a visual spectacle and a true testament to Nolan's ability to create stunning set pieces.However, the film's pacing is a bit uneven, with some scenes feeling too long and others feeling rushed. The film's editing, while impressive at times, also contributes to the confusion caused by the inversion concept. There are moments where it feels like the film is trying to be too clever for its own good, and the narrative suffers as a result."
" Good story, bad acting.
",fadiobaji-26542,8,15 April 2023,"I agree with some reviews that you have to know some physics (quantum physics) to begin to understand what's going on, but I think the movie has a solid story.HOWEVER the acting of non-star actors are just very very bad! I don't know how they missed that!For example when they attack the people inside the plane, they just go to sleep in less than a second! He barely touches the person! Also without any resistance! That's laughable!Also when attacking the driver inside the truck, he just go to sleep like instantly! WTF c'mon seriously?!Other than it's a good movie with very hard to understand logic for most people. But I enjoyed it."
" Tenet - A Mind-Bending Action Spectacle
",LisaJones_1,9,14 April 2023,"If you're a fan of Christopher Nolan's work, you won't be disappointed by his latest film, Tenet. This action-packed sci-fi thriller will keep you on the edge of your seat from start to finish. The movie is visually stunning, with mind-bending action sequences that will leave you speechless. The soundtrack, composed by Ludwig Göransson, is perfectly fitting for the movie's intense and suspenseful moments.John David Washington and Robert Pattinson have excellent chemistry as the movie's leads. Their performances are nothing short of phenomenal. Elizabeth Debicki and Kenneth Branagh also deliver standout performances.One of the most impressive aspects of the movie is the way it plays with time. Without giving anything away, the concept of inversion is both fascinating and confusing, and it's implemented flawlessly.Overall, Tenet is a must-see movie for anyone who loves action, sci-fi, or mind-bending thrillers. It's not perfect, but it's definitely worth watching on the big screen.Quote: ""Don't try to understand it. Feel it."" - Neil (Robert Pattinson)"
" Good movie, bad plot
",McDiarmid23,6,13 April 2023,"When I watched Tenet I was really excited at first because you are immediately thrown into the plot and have no idea, but from time to time you understand the story. However, after some time I got bored because there was not so much tension as in other spy and heist movies. I loved to see Kenneth Branagh in this playing the villain, but other actors played their role not as good as I wished they would. I have to say that the plot is very boring after some time and then it feels like you're wasting your time when you watch more of it. I watched the whole movie but I had the same feeling. To sum it up: Boring plot, good shots, Bad acting, bad dialogues, and you cannot really understand the story."
" Convoluted mess
",donegalcat,5,8 April 2023,"Tenet too often feels like an overly long gimmick because the film lacks the plot, the characters or the acting to hold the attention otherwise. The film shows technical accomplishment in depicting action in reverse but that is about it.The plot is a convoluted mess and long before the end I lost interest in trying to follow it.There may be multiple timelines and versions of the characters, but the film doesn't make them interesting enough to care. John David Washington in the lead role lacks charisma and isn't strong enough to carry the film. Branagh's accent is all over the place as the weak Russian villain. Pattinson does better as the stereotypical shady fixer while Debicki is solid as the damsel in distress.Going into this I was hoping for something along the lines of Inception but instead Tenet just continues the long decline from Christopher Nolan since that 2010 hit."
" I wonder if the actors in this understood the plot?
",andrew-huggett,1,7 April 2023,Tried to watch this - gave up on it about an hour from the end. What a mess! There are a couple of moderately exciting set pieces but the narrative structure of this film went over my head. I feel it's trying too hard to be clever and really it's probably quite a simple story. It wasn't helped by the music which was very loud drowning out the dialog. Very disappointing. I wish I hadn't wasted my money on the 4K disc - at least it was cheap. I might give it another go at some future point. I wasn't even all that impressed with the picture quality - it didn't look much better than a standard blu-ray. The opening sequence was completely incomprehensible and didn't seem to have any relevance to the rest of the film. I wonder if the actors in this film knew what was going on plot wise?
" Needs Repeat Viewing to Enjoy, but there's a downside.
",Jimmy_The_Jacobite,8,26 March 2023,"Nolan has quite the brain creating science fiction, but this complex idea is one of the few that translated to have a fair understanding. Very interesting perspective preventing nuclear holocaust with the introduction of time travel as the core to its story. Visually its memorable, but needs repeat viewing to have understanding of rules why the story plays out the way it does. The unfortunate part of this film, John Washington isn't convincing as the lead. His persona is forced, lacks charisma & becomes less believable of a character that is capable as such for the story. Patterson is surprisingly good. This film is extremely complex in story, needs time to put together."
" Decided not to waste anymore of my time
",sleepingsunrise,5,25 March 2023,"I really wanted to like this movie. I became interested in it because of Robert Pattinson and it being directed by Nolan.I typically give movies 30 minutes to impress me because I HATE wasting my time. I tried watching this one twice and ultimately gave up about an hour into it. An hour is generous for me. I gave it that much because I know many of Nolan's films are a slow burn and worth the wait.The concept makes no sense and they don't even bother trying to make it make sense. They even tell you ""Don't try to understand it"". Yeah, I won't.The action and dialogue was too quick to keep up. It basically looked like watching a movie on rewind.Ultimately the reason why I turned it off was because I got tired of watching the wife be terrorized by the ex-husband. It was sickening.If only I could go back in time and not watch this movie."
